what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1304953162150
started,bundle,org.eclipse.osgi,3.7.0.v20110427,"org.eclipse.osgi",1304953162150
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110404-2011,"org.eclipse.equinox.simpleconfigurator",1304953162150
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1304953162150
started,bundle,org.eclipse.ant.ui,3.5.100.v20110221,"org.eclipse.ant.ui",1304953162150
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1304953162150
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1304953162150
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1304953162150
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1304953162150
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110124-0100,"org.eclipse.core.filebuffers",1304953162150
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1304953162150
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1304953162150
started,bundle,org.eclipse.core.net,1.2.100.I20110419-0800,"org.eclipse.core.net",1304953162150
started,bundle,org.eclipse.core.resources,3.7.100.v20110427-0856,"org.eclipse.core.resources",1304953162150
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1304953162150
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1304953162150
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1304953162150
started,bundle,org.eclipse.core.variables,3.2.500.v20110411,"org.eclipse.core.variables",1304953162150
started,bundle,org.eclipse.debug.core,3.7.0.v20110404,"org.eclipse.debug.core",1304953162150
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1304953162150
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110503-1325,"org.eclipse.epp.mpc.ui",1304953162150
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1304953162150
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1304953162150
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1304953162150
started,bundle,org.eclipse.equinox.common,3.6.0.v20110427,"org.eclipse.equinox.common",1304953162150
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110418,"org.eclipse.equinox.ds",1304953162150
started,bundle,org.eclipse.equinox.event,1.2.100.v20110110,"org.eclipse.equinox.event",1304953162150
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110228,"org.eclipse.equinox.frameworkadmin",1304953162150
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.100.v20110421,"org.eclipse.equinox.p2.artifact.repository",1304953162150
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110419-0147,"org.eclipse.equinox.p2.core",1304953162150
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110222-0044,"org.eclipse.equinox.p2.director",1304953162150
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110305-0130,"org.eclipse.equinox.p2.directorywatcher",1304953162150
